city,capital,country,,,,,,,,
San Jose,true,Costa Rica,"('San Jose',true,'Costa Rica'),",,,,,,,"('San Jose',true,'Costa Rica'),"
Victoria,true,Seychelles,"('Victoria',true,'Seychelles'),",,,,,,,"('Victoria',true,'Seychelles'),"
Dushanbe,true,Tajikistan,"('Dushanbe',true,'Tajikistan'),",,,,,,,"('Dushanbe',true,'Tajikistan'),"
Tashkent,true,Uzbekistan,"('Tashkent',true,'Uzbekistan'),",,,,,,,"('Tashkent',true,'Uzbekistan'),"
Bishkek,true,Kyrgyzstan,"('Bishkek',true,'Kyrgyzstan'),",,,,,,,"('Bishkek',true,'Kyrgyzstan'),"
Palikir,true,Micronesia,"('Palikir',true,'Micronesia'),",,,,,,,"('Palikir',true,'Micronesia'),"
Maputo,true,Mozambique,"('Maputo',true,'Mozambique'),",,,,,,,"('Maputo',true,'Mozambique'),"
Dhaka,true,Bangladesh,"('Dhaka',true,'Bangladesh'),",,,,,,,"('Dhaka',true,'Bangladesh'),"
Praia,true,Cabo Verde,"('Praia',true,'Cabo Verde'),",,,,,,,"('Praia',true,'Cabo Verde'),"
Baku,true,Azerbaijan,"('Baku',true,'Azerbaijan'),",,,,,,,"('Baku',true,'Azerbaijan'),"
Sri Jayawardenepura Kotte,true,Sri Lanka,"('Sri Jayawardenepura Kotte',true,'Sri Lanka'),",,,,,,,"('Sri Jayawardenepura Kotte',true,'Sri Lanka'),"
Jerusalem (East),true,Palestine,"('Jerusalem (East)',true,'Palestine'),",,,,,,,"('Jerusalem (East)',true,'Palestine'),"
Guatemala City,true,Guatemala,"('Guatemala City',true,'Guatemala'),",,,,,,,"('Guatemala City',true,'Guatemala'),"
Buenos Aires,true,Argentina,"('Buenos Aires',true,'Argentina'),",,,,,,,"('Buenos Aires',true,'Argentina'),"
Port Louis,true,Mauritius,"('Port Louis',true,'Mauritius'),",,,,,,,"('Port Louis',true,'Mauritius'),"
Singapore,true,Singapore,"('Singapore',true,'Singapore'),",,,,,,,"('Singapore',true,'Singapore'),"
Canberra,true,Australia,"('Canberra',true,'Australia'),",,,,,,,"('Canberra',true,'Australia'),"
Jakarta,true,Indonesia,"('Jakarta',true,'Indonesia'),",,,,,,,"('Jakarta',true,'Indonesia'),"
Vilnius,true,Lithuania,"('Vilnius',true,'Lithuania'),",,,,,,,"('Vilnius',true,'Lithuania'),"
Managua,true,Nicaragua,"('Managua',true,'Nicaragua'),",,,,,,,"('Managua',true,'Nicaragua'),"
Caracas,true,Venezuela,"('Caracas',true,'Venezuela'),",,,,,,,"('Caracas',true,'Venezuela'),"
"Lobamba (legislative, royal)",true,Eswatini,"('Lobamba (legislative, royal)',true,'Eswatini'),",,,,,,,"('Lobamba (legislative, royal)',true,'Eswatini'),"
"Mbabane (administrative),",true,Eswatini,"('Mbabane (administrative),',true,'Eswatini'),",,,,,,,"('Mbabane (administrative),',true,'Eswatini'),"
Djibouti (city),true,Djibouti,"('Djibouti (city)',true,'Djibouti'),",,,,,,,"('Djibouti (city)',true,'Djibouti'),"
Kuala Lumpur,true,Malaysia,"('Kuala Lumpur',true,'Malaysia'),",,,,,,,"('Kuala Lumpur',true,'Malaysia'),"
Addis Ababa,true,Ethiopia,"('Addis Ababa',true,'Ethiopia'),",,,,,,,"('Addis Ababa',true,'Ethiopia'),"
